[(64950, 'highway'),
 (59631, 'building'),
 (41893, 'name'),
 (33067, 'source'),
 (22520, 'addr:street'),
 (17642, 'addr:housenumber'),
 (17060, 'addr:city'),
 (14224, 'oneway'),
 (13419, 'addr:postcode'),
 (9524, 'addr:country'),
 (8462, 'garmin_type'),
 (7879, 'catmp-RoadID'),
 (5038, 'service'),
 (3378, 'amenity'),
 (2943, 'access'),
 (2920, 'landuse'),
 (2754, 'leisure'),
 (2626, 'layer'),
 (2592, 'surface'),
 (2502, 'bridge'),
 (2359, 'foot'),
 (1828, 'bicycle'),
 (1751, 'natural'),
 (1603, 'ref'),
 (1287, 'lanes'),
 (1274, 'sport'),
 (1261, 'maxspeed'),
 (1161, 'waterway'),
 (1153, 'building:levels'),
 (861, 'man_made'),
 (788, 'motorcar'),
 (765, 'hgv'),
 (759, 'goods'),
 (699, 'psv'),
 (692, 'emergency'),
 (678, 'taxi'),
 (675, 'garmin_road_class'),
 (666, 'parking'),
 (658, 'building:use'),
 (639, 'golf'),
 (619, 'horse'),
 (580, 'tunnel'),
 (543, 'name:zh'),
 (538, 'motor_vehicle'),
 (535, 'lit'),
 (534, 'note'),
 (524, 'residential'),
 (508, 'seamark:type'),
 (501, 'addr:housename'),
 (492, 'aeroway'),
 (482, 'railway'),
 (474, 'shop'),
 (466, 'covered'),
 (426, 'alt_name'),
 (398, 'height'),
 (392, 'sidewalk'),
 (386, 'name:ms'),
 (342, 'school'),
 (342, 'building:part'),
 (329, 'barrier'),
 (276, 'name:en'),
 (272, 'water'),
 (264, 'width'),
 (263, 'tourism'),
 (258, 'power'),
 (250, 'area'),
 (244, 'religion'),
 (244, 'gauge'),
 (230, 'website'),
 (228, 'created_by'),
 (222, 'cycleway'),
 (212, 'old_name'),
 (190, 'wikipedia'),
 (179, 'operator'),
 (177, 'tee'),
 (176, 'place'),
 (163, 'wheelchair'),
 (160, 'junction'),
 (160, 'cables'),
 (156, 'roof:shape'),
 (154, 'motorroad'),
 (145, 'footway'),
 (145, 'destination'),
 (143, 'building:level'),
 (141, 'toll'),
 (138, 'tracktype'),
 (134, 'alt_name:ms'),
 (133, 'is_in'),
 (120, 'construction'),
 (110, 'building:min_level'),
 (106, 'sac_scale'),
 (106, 'motorcycle'),
 (100, 'phone'),
 (100, 'content'),
 (99, 'fixme'),
 (98, 'trail_visibility'),
 (89, 'incline'),
 (88, 'segregated'),
 (80, 'designation'),
 (79, 'postal_code'),
 (78, 'vehicle'),
 (75, 'salt'),
 (72, 'tidal'),
 (71, 'int_ref'),
 (68, 'fee'),
 (67, 'seamark:name'),
 (61, 'submarine'),
 (57, 'ski'),
 (55, 'min_height'),
 (54, 'boat'),
 (51, 'snowmobile'),
 (48, 'denomination'),
 (47, 'proposed'),
 (46, 'brand'),
 (44, 'electrified'),
 (44, 'cuisine'),
 (43, 'mtb:scale:imba'),
 (42, 'type'),
 (39, 'boundary'),
 (37, 'underground'),
 (37, 'destination:en'),
 (34, 'substation'),
 (34, 'public_transport'),
 (34, 'handrail'),
 (31, 'supervised'),
 (30, 'wetland'),
 (29, 'seamark:cable_submarine:category'),
 (28, 'step_count'),
 (28, 'name:my'),
 (28, 'mtb:scale'),
 (27, 'seamark:pipeline_submarine:product'),
 (27, 'park_ride'),
 (26, 'seamark:pipeline_submarine:category'),
 (26, 'opening_hours'),
 (26, 'cutting'),
 (25, 'subsea'),
 (25, 'shelter_type'),
 (23, 'office'),
